Timestamp,ID,Strain,Temp
1728929361.095446,4,695,37.33
1728929361.4552717,3,435,41.56
1728929361.8186054,1,450,37.63
1728929362.1954436,2,519,41.88
1728929362.5413136,4,695,37.33
1728929362.9187806,3,435,41.47
1728929363.2898476,1,450,37.69
1728929363.668139,2,519,41.82
1728929364.0575678,4,684,37.31
1728929364.4789124,3,434,41.47
1728929364.853789,2,520,41.76
1728929365.2283812,1,452,37.6
1728929365.5709336,4,696,37.08
1728929365.9281445,3,433,41.38
1728929366.2854695,2,520,41.76
1728929366.6312208,1,448,37.56
1728929367.0088618,4,680,37.15
1728929367.3808424,3,434,41.31
1728929367.759638,2,520,41.76
1728929368.133739,1,447,37.5
1728929368.5701022,4,695,37.02
1728929369.0851195,3,433,41.19
1728929369.507937,2,521,41.76
1728929369.9334257,1,443,37.52
1728929370.3137205,4,692,37.02
1728929370.6570852,3,431,41.18
1728929371.0126388,2,521,41.76
1728929371.3848364,1,446,37.5
1728929371.8054292,4,697,37
1728929372.165338,3,435,41.14
1728929372.5560493,2,520,41.76
1728929372.9320188,1,443,37.46
1728929373.279465,4,696,37
1728929373.6395786,3,434,41.07
1728929373.999695,2,519,41.76
1728929374.3567412,1,447,37.44
1728929374.6987462,4,698,37
1728929375.059575,3,436,40.92
1728929375.4510875,2,519,41.73
1728929375.808841,1,444,37.4
1728929376.1859787,4,699,37
1728929376.5509968,3,432,40.88
1728929376.911854,2,519,41.69
1728929377.2720892,1,447,37.33
1728929377.619356,4,699,37
1728929377.9804306,3,433,40.86
1728929378.3418846,2,519,41.6
1728929378.7507894,1,448,37.42
1728929379.0963995,4,701,37
1728929379.440043,3,433,40.79
1728929379.8175232,2,519,41.51
1728929380.1909413,1,448,37.35
1728929380.5673296,4,700,37
1728929380.912141,3,434,40.72
1728929381.2698553,2,519,41.47
1728929381.6189644,1,444,37.38
1728929381.9494803,4,703,37
1728929382.304448,3,432,40.61
1728929383,2,519,41.47
1728929383.0104795,1,443,37.31
1728929383,4,702,37
1728929384,3,433,40.59
1728929384.201079,2,519,41.47
1728929385,1,444,37.27
1728929384.9375193,4,698,37
1728929385.3172357,3,434,40.57
1728929385.753972,2,519,41.47
1728929386.1232884,1,442,37.27
1728929386.4632642,4,700,37
1728929386.8104463,3,432,40.44
1728929387.168893,2,519,41.47
1728929388,1,437,37.25
1728929387.8947408,4,698,36.92
1728929388.2381742,3,436,40.35
1728929388.6160536,1,443,37.23
1728929388.9714565,2,519,41.47
1728929389.3455205,4,705,36.96
1728929389.6891277,3,434,40.29
1728929390.0314517,1,445,37.21
1728929390.3936093,2,519,41.47
1728929390.750786,4,703,36.88
1728929391.128092,3,433,40.29
1728929391.4842846,1,439,37.13
1728929391.8621433,2,519,41.45
1728929392.2079237,4,701,36.81
1728929392.628359,3,431,40.22
1728929392.9850817,1,442,37.13
1728929393.3257961,2,519,41.38
1728929393.6881268,4,704,36.81
1728929394.0330315,3,434,40.17
1728929394.3960614,1,440,37.1
1728929394.7601116,2,519,41.25
1728929395.1344965,4,704,36.75
1728929395.5147917,3,431,40.06
1728929395.8895257,1,443,37
1728929396.2513726,2,519,41.18
1728929396.6152284,4,700,36.69
1728929396.9918475,3,434,40
1728929397.352263,1,446,37.02
1728929397.7224889,2,519,41.18
1728929398.1433573,4,693,36.73
1728929398.502768,3,435,39.98
1728929398.864117,1,443,37.19
1728929399.2275326,2,520,41.18
1728929399.655344,4,713,36.69
1728929400.0106764,3,433,39.94
1728929400.388413,1,440,37.08
1728929400.764624,2,519,41.18
1728929401.1423059,4,698,36.67
1728929401.500001,3,436,39.83
1728929401.8609712,1,440,37.02
1728929402.2199585,2,519,41.18
1728929402.5837214,4,706,36.67
1728929402.9304416,3,436,39.79
1728929403.3026214,1,444,37.02
1728929403.6618807,2,519,41.18
1728929404.022042,4,706,36.67
1728929404.3838596,3,441,39.69
1728929404.7615068,1,443,37.06
1728929405.1222181,2,520,41.16
1728929405.4829662,4,710,36.67
1728929405.8580227,3,436,39.67
1728929406.2025464,1,442,37.02
1728929406.6387546,2,520,41.16
1728929407.0002985,4,704,36.67
1728929407.3486998,3,436,39.65
1728929407.7586536,1,445,36.94
1728929408.1306813,2,521,41.18
1728929408.477045,4,697,36.67
1728929409,3,436,39.58
1728929409.1941168,1,442,36.94
1728929409.5530999,2,520,41.05
1728929409.9010663,4,703,36.67
1728929410.2480443,3,434,39.52
1728929410.6220918,1,442,36.92
1728929410.9849484,2,519,40.94
1728929411.3419714,4,707,36.67
1728929411.7031243,3,434,39.44
1728929412.0820851,1,445,36.83
1728929412.459577,2,520,40.9
1728929412.8186913,4,708,36.67
1728929413.1624997,3,436,39.33
1728929413.5806873,1,446,36.75
1728929413.9255333,2,519,40.88
1728929414.2837706,4,712,36.67
1728929414.6444595,3,437,39.33
1728929414.9870229,1,444,36.77
1728929415.366095,2,519,40.88
1728929415.7234552,4,708,36.67
1728929416.0702977,3,440,39.31
1728929416.449784,1,443,36.81
1728929416.8125713,2,519,40.88
1728929417.1867337,4,708,36.67
1728929417.5645125,3,437,39.29
1728929417.8949194,1,443,36.79
1728929418.2540772,2,519,40.88
1728929419,4,707,36.67
1728929418.9708862,3,435,39.19
1728929419.317166,1,450,36.75
1728929419.6719143,2,520,40.88
1728929420.0319624,4,713,36.67
1728929420.450161,3,442,39.15
1728929420.8231957,1,440,36.75
1728929421.1676655,2,519,40.88
1728929421.532878,4,705,36.67
1728929421.8802006,3,438,39.1
1728929422.225013,1,444,36.75
1728929422.587227,2,520,40.85
1728929422.9490094,4,710,36.65
1728929423.2957027,3,436,39
1728929423.6842124,1,444,36.73
1728929424.108829,2,520,40.86
1728929424.5367424,4,709,36.67
1728929424.9152071,3,439,39
1728929425.3087645,1,445,36.73
1728929425.7177415,2,521,40.81
1728929426.1435835,4,706,36.6
1728929426.521113,3,443,39
1728929426.9726496,2,519,40.61
1728929427.3581936,1,445,36.71
1728929427.8083167,4,710,36.54
1728929428.215113,3,438,39
1728929428.6217346,2,519,40.59
1728929429.022104,1,445,36.73
1728929429.4278793,4,707,36.48
1728929429.8346167,3,439,38.94
1728929430.2401698,2,519,40.59
1728929430.6441827,1,443,36.71
1728929431.0621421,4,704,36.54
1728929431.4829195,3,436,38.81
1728929431.8914888,2,519,40.59
1728929432.2848263,1,449,36.67
1728929432.6943028,4,704,36.4
1728929433,3,439,38.77
1728929433.5027065,2,519,40.59
1728929433.9286032,1,445,36.65
1728929434.3378599,4,714,36.4
1728929434.748519,3,433,38.71
1728929435.148127,2,519,40.59
1728929435.5962539,1,445,36.65
1728929436.000397,4,701,36.42
1728929436.4066465,3,439,38.67
1728929436.8286304,2,519,40.59
1728929437.231098,1,446,36.65
1728929437.6359794,4,714,36.35
1728929438.0406451,3,438,38.67
1728929438.4678836,2,519,40.57
1728929438.906385,1,443,36.63
1728929439.298833,4,704,36.33
1728929439.689215,3,438,38.67
1728929440.109045,2,519,40.55
